text,label,platform
"💀💀🗿
Collecting Superiors (🎯50k)
Like this content? Follow us for more ❤️ 
-
-
-
#offensivememes #mathmemes #funnypost #laugh #lol #wholesomememes #gamememe #edgymemes #funnymemes #bestmemes #lmao😂😂😂 #dankmemesdaily #sarcasmmemes #sarcastic #fypシ #lmao #laughing #gamememes #sarcasticquotes #memez #fyp #schoolmemes #comedymemes #catsofinstagram #hahaha #collegememes #animalmemes #sarcasticmemes #sigma #videogamememes",Humor,Instagram
"-(DONT FORGET TO FOLLOW)
-
-
-
-
 #racist #memeaccount #redditmemes #memedaily
#ironicmemes #dankestmemes #cursedimage
#offensivememes #epicgamer #scarymemes
#cursedvideos
#cursedimagedealer #cursedimages #voidmemes
#ironymemes
#lmao😂😂😂 #hilarious #memes #edgymemes
#edgy #edgymemesforedgyteens #edgymeme
#memepage
#offensivememes
#horrormemes #animaliam #offensivememes #offensivememes💦👀💯😂😂💎🔥😤💦👌💯😂🙏😂😂💎💎🔥😤💦👀👀 #offencivememes #memes #wtf #wrizz #emowrists",Humor,Instagram
#memes #lmao😂😂😂 #memesdaily #bruhhhhh😂😭😂😭 #thisthatbullshit #thisbitch #memezfordayz #meme,Humor,Instagram
#happymonday  #lmao  #lmao😂😂😂 #funnymemes #funnyshit  #funnyquotes  #hahahhah,Humor,Instagram
"lol 

#rottmnt #rottmntdonnie #tmnt #donnie #cursedrawing #lmao😂😂😂",Humor,Instagram
#memes #menbelike #wellshit #meme #lmao😂😂😂 #smhlol👊🏿😂 #bwdmc #trinisbelike #imjustsaying #forrealtho #memezfordayz,Humor,Instagram
"🤣🤣🤣
Making you laugh every day 😄 😂 😆
Like this content? Follow us for more ❤️
-
-
-
#offensivememes #mathmemes #funnypost #laugh #lol #wholesomememes #gamememe #edgymemes #funnymemes #bestmemes #lmao😂😂😂 #dankmemesdaily #sarcasmmemes #sarcastic #fypシ #lmao #laughing #gamememes #sarcasticquotes #memez #fyp #schoolmemes #comedymemes #catsofinstagram #hahaha #collegememes #animalmemes #sarcasticmemes #sigma #videogamememesftw",Humor,Instagram
#happymonday  #lmao😂😂😂 #lmao😂😂😂 #funnymemes #funnyquotes,Humor,Instagram
#memes #imjustsaying #meme #lmao😂😂😂 #doneknow,Humor,Instagram
Relationship with the world.......#lmao😂😂😂 #memes,Humor,Instagram
#meme #findtheone #capichaba #wtf #wdmc #wellshit #forupage #memes #lmao😂😂😂 #fuckery #browtfbro #lol #memezfordayz #memesdaily #smhlol👊🏿😂,Humor,Instagram
#happymonday  #lmao😂😂😂 #lmaomemes  #funnymemes  #funnyshit  #hahaha,Humor,Instagram
Don’t become one. #funnyname #funnynames #cemeteryhumor #deadeyedick#thedicks #mrandmrsdick #mrandmrs #dontbeadick #dontbecomeadick #deaddick #dickless #nomoredick #graveyardhumor #dickandjane #cemeteryphotography #cemetery_nation #cemetery_photography #cemeteryfinds #lmao😂😂😂,Humor,Instagram
"ALL TYPES OF DRESS CODES
###menstyle ###mensfashion ###shirt ###cr ###cr7 ###lmao😂😂😂",Humor,Instagram
#memes #thisthatbullshit #memesdaily #imsayingtho #meme #lmao😂😂😂 #browtfbro #bruhhhhh😂😭😂😭 #wtf #smhlol👊🏿😂,Humor,Instagram
#happymonday  #lmao😂😂😂 #lmaomemes  #funnyshit #haha  #funnyquotes #👌👈🛏️. #bedroomtalk,Humor,Instagram
"Hmm, the corner it is!

#meme #bruhhhhh😂😭😂😭 #memes #wellshit #memesdaily #lmao😂😂😂 #doneknow",Humor,Instagram
#happymonday  #lmao😂😂😂 #lmaooo  #funnymeme  #funnyposts  #funnyshit,Humor,Instagram
#memes #smhlol👊🏿😂 #memezfordayz #bruhhhhh😂😭😂😭 #thisthatbullshit #lmao😂😂😂 #meme,Humor,Instagram
"Follow @toxics_memes for more memes

Dm for credit

#fyp #foryou #meme #memes😂 #memepage #memesdaily #memesfordays #memesforyou #memes #memevideos #lmaomeme #lmfao😂😂😂😭😭😭💀💀💀💯💯💯 #lmao😂😂😂 #lmfao #lolmemes #lmao #lmaooo #lolvideos #lmaovideos #hilariousmemes #hilarious #funnypost #funnyposts #funnymemesFollow @toxics_memes for more memes",Humor,Instagram
#truestory #lol #thestruggleisreal #sarcasm #darkhumor #lmao😂😂😂 #spooniehumor #spoonielife #ehlersdanlossyndrome #mcas #chronicillness #chronicillnesshumor #pots #ddd #chronicpain #chronicpainawareness #arthritis #butyoudontlooksick #medicalgaslighting #trauma #cptsd #neurospicy #brainfog #adhd #asd #medicalneglect #genetics #fibromyalgia #spoonie,Humor,Instagram
"Wat vinden jullie??
Is het zaterdag alweer tijd voor oliebollen?? Of nog even wachten tot volgende week 🤨😋 #bij300likesgaanwebakken toch lennart??? #lol #lmao😂😂😂 #paardenmarkt",Humor,Instagram
"I genuinely want to know 
#whatthefuck #explainthisshit #smhlol👊🏿😂 #memes #lmao😂😂😂 #meme #bruhhhhh😂😭😂😭 #memesdaily",Humor,Instagram
"Me, just showing off that I had a date last night.. LoL #62yearoldvirgin #nomoneynohoney🐝 #illswingbothways #whitehairedguywithnomoney #oldwhitehairedwhocantgetitup #lmao😂😂😂 #doyoulikemysenseofhumour  #iplaywithmyself",Humor,Instagram
#happymonday #lmao #lmao😂😂😂 #hahaha #funnymemes #funnyshit  #funnyquotes  #thefuckerycontinues,Humor,Instagram
#sls #funny #lmao😂😂😂 #搞笑 #meme #memes #笑死 #lmfao #icant #help #地獄 #地獄梗 #香港迷因  #港式笑話 #港式幽默 #港式冷笑話 #香港笑話 #HKmeme #HongKongmeme #HKfunnymeme #香港版迷因 #港版meme #港式meme #香港迷因集中營,Humor,Instagram
#trueornah #memes #imjustsaying #lol #bruhhhhh😂😭😂😭 #lmao😂😂😂 #memesdaily #explainthisshit #meme,Humor,Instagram
#happymonday  #lmao  #lmao😂😂😂 #haha  #lmaoooo  #lmao😂😂 #funnyquotes  #funnyposts,Humor,Instagram
#memes #darkhumor #memesdaily #lol #lmao😂😂😂 #meme #funnyposts #tf #browtfbro #memezfordayz #funnyshit,Humor,Instagram
"""Nobody is coming to save you""
Lmao my mummy will come oo, as long as she's alive and kicking she will always come to my aid.",Humor,X
nobody in nigeria cares about racism lmao. una just de performative,Humor,X
I’m tired like mad but nobody papa send me lmao I don go hack another fb 😂 no relent joor,Humor,X
"Also said…

“I can never use my money to buy an iPhone. 
Even if someone buy it for me, I will sell it and use the money to buy a low-grade phone cuz I can’t afford to keep an iPhone”

Lmao😭😭

Nobody fool reach me walai",Humor,X
@levillaneve i think bob trained for nobody 1 when they lived together and she used to watch him workout i can’t stop imagining her being like “if i try to do that i will die” lmao,Humor,X
But Maddy is broke? LMAO nobody won here,Humor,X
"LMAO all that pretending they cared about “Me Too” only to protect a serial sexual predator for years.

Everyone knew and nobody said shit.",Humor,X
"if you’re a man and you disagree with me and come under my tweets to give your opinion that nobody asked for, I’m just going to block you, I’m not arguing with you for free lmao, nice try tho",Humor,X
"Nobody foolish reach fc 🦅 coz which kind PR una dey carry say Burnaboy apologize to Dj Tunez? Make he catch am again, he go still beat am again say why he dey lie for him head. Lmao 🤣",Humor,X
"lmao idk what’s happening but nobody helped stonebwoy more than himself, you people are too quick to claim savior, you’re not!",Humor,X
nobody lmao wtf,Humor,X
Lmao nobody talks about it sure,Humor,X
"Above 35 and you’re still single? Lmao what is actually the plan?
Don’t you men know that once you cross a certain age, nobody is looking at your side again? You’ll just be there forming ""alpha male"" while your mates are doing inter-house sports with their kids.",Humor,X
Nobody is gonna pay shit lmao 🤣 https://t.co/WnAJuBa7ci,Humor,X
Unu worried bout party mash up n how jaii a wasteman. You think if a group a man a try press me n mi have g*n me nah sh000t him too?? Lmao be so fkin fr. Im not fighting nobody.,Humor,X
nawa o lol nobody kon deh share thoughts and prediction 😂 na xoxo “interested” I just dey see lmao 🤣,Humor,X
hey fun fact.. people who cut themselves.. arent okay? LMAO? calling self harm privledged is insane and any1 who agrees w this can block me💀. nobody who cuts themselves is completely mentally stable and you dont get to decide how someone copes,Humor,X
"So you’re telling me Arirang got leaked and nobody noticed, and now HYBE is suing @/jwngkcck for leaking the album and that person is a BLINK? LMAO 😭😭.

 https://t.co/l8e1rKszkC",Humor,X
"@_cyr4x @cyb3rops no it cannot dumbass lmao 🤣 

stop making shit up, your 120b LLM in a magical harness and ralph homer simpson loop isn't opus level

nobody buys your bullshit just so you know",Humor,X
"LMAO..... That is not love. Your feelings is clouding your judgment. Nobody in love with you expects you to carry their bills. That is her father's responsibility.

To love is to GIVE

She doesn't love you. There is no such thing as ""supportive and understanding"" if all she is doing is waiting for you to make money to foot her bills. You're damaged.",Humor,X
Bro i dead ass have nobody to talk to lmao,Humor,X
"Yall I just caught up on “Imperfect Women” and this show is sooooo crazy 😭😭 I don’t trust NOBODY lmao . 

Mary lowkey the only one I can have a little sympathy for but then again she still a homewrecker 😭",Humor,X
Flick is so fucking useless nobody would gaslight me lmao,Humor,X
"@NakimPvP funny part is battle rap fans LOVED midnight madness and all the tournaments for this exact reason, but then we get to the other 90% of the culture and somehow wins shouldn’t matter.

shit would keep battlers accountable too cause nobody wanna be 0-12 in battles lmao",Humor,X
i was at the second show the day after #that cancelled 1D show and when i tell you nobody was happy lmao the only sane one was niall they hated each other so much you could physically see it im not surprised they’re fighting again,Humor,X
@kvwvsvki @beyoncegarden I promise you nobody in America is afraid of some pussy from France lmao.,Humor,X
@KaiKaraNZ @ripthefraudcess @themmadummy Lmao 💀 ain’t nobody ducking your gay ass fav buddy,Humor,X
"lmao @TheQuartering  you don’t need to “defend your staff,” Jeremy,  they need defending from you!   Nobody was touching your co-hosts or their families until you turned this into your never-ending victim opera and dragged them straight into the blast radius.

 You’re not their hero, you’re the walking chain reaction who keeps lighting the match, throwing gasoline on it, then acting shocked when the fire hits everyone around you.  The real lowlife starting shit? It’s the guy who can’t stop escalating and then live-tweets his persecution complex, and deletes it all 10 minutes later.  Take the break for their sake, drama goblin. stop drinking",Humor,X
Nobody thinks of africa when they mention of talk about Black culture not even africans lmao,Humor,X
"I hope nobody get in trouble LMAO 
THANK YOU SO MUCH @premiumharam 
@qnorapname_ 
&amp; https://t.co/9lbzvT3gEA 
&amp; Lamb Rabbit 
&amp; The Lot Radio

 if I come bavk I’ll do the fake freestyle next time LOL this was really off the top https://t.co/jL0wUL70mm",Humor,X
why is nobody instalocking black cat anymore LMAO?,Humor,X
"@ViceCityScoop @TGGonYT lmao yeah

good thing is that the 6 month window to release is the fully committed point so if they don't delay on the 19th then that's it and nobody can fearmonger anymore 😭",Humor,X
"Lmao 😂 
Nobody cares about your “dislike”

People are earning using the app to create designs for others and business owners who know how to properly utilize it are saving themselves cost.

Your dislike means nothing for Canva users is irrelevant.",Humor,X
Lmao nobody😭,Humor,X
dude maybe the issue is that nobody can fucking afford to have kids anymore lmao. gen zers are lucky if they even have a job at all.,Humor,X
@espn @ESPNNBA ESPN only getting 1k likes in 3 hours😂this thunder squad is truly hated by everyone but OKC and I love it. Don’t nobody like watching that flopping marathon lmao,Humor,X
vampire giveaways changed this fandom lmao nobody believes giveaway anymore 😭,Humor,X
"@AJ___tax @juankruh500 This is exactly what I mean lmao. BB has his own agenda and the only agenda he has is the final villain one. Nobody from the BB agenda gives one damn about his yonko status its only yall ""yonko agenda"" people that actually think somebody gives a damn about what ""yonko"" bb does",Humor,X
"Reason why the only people I sometimes open up to are @NEBASARK, @Donsarkcess and @PolySarkcess ooo. Nobody else, like ago diè. Least opportunity then you’re everywhere on the tl. Lmao",Humor,X
Lmao I'm glad nobody did this last night.,Humor,X
I don’t need 2 collab with nobody i ain’t with that fake shit lmao,Humor,X
"Today is 4/20. Lmao would matter to me if i was still in highschool and it was 2011. 

We abusing stimulants in the corporate rat race and or buisness owner market now. Nobody give a fuck",Humor,X
I never paid attention to how much women project until recently. I have no idea why they think we think like them after a million years of proof we don’t. I be like dawg nobody was even thinkin about dat lmao,Humor,X
Bro idk how to combine they names lmao I didn’t know Goten &amp; Trunks was Gotenks until they said it. Nobody said they name yet so I just said Voku,Humor,X
"Nobody:

Me getting ready to be racist, antisemitic and troll on X lmao 🤡 https://t.co/mnnC6QZKLi",Humor,X
@negligible_cap lmao Billionaires are some of the biggest whiny bitches😂,Humor,X
"@Stoopbets @PtickySoo @evercornelias But folks are ok with mark forgiving him when he had it worse than Debbie lmao

Nolan said mark was expendable while beating him almost to death. Nobody made any complaints on mark forgiving Nolan why??? Bc it’s his dad and he loves him,  that won’t go away",Humor,X
"Congrats okc, nobody likes yall lmao",Humor,X
"@neilDCFC @MhMyxacc444 nobody arguing with me in these comments has ever been, lmao 😂",Humor,X
"Nothing can make me feel shame about my sexual life lmao. Imagine trying to shame me for having sex or for talking about it… same thing you all do when nobody is watching, some of you even do the most.
We are all adults. 

People are having consensual sex whether they talk about it or not. Acting shocked or trying to shame it online does not make it less real.

My question is, who una dey actually pretend for? We wey no send? All this trying to look holier than thou is worse than those who just embrace it. If you do not like it, scroll. But shaming people for being open while doing the same thing in private is just funny to me.",Humor,X
@YourAnonNews Lmao he can fly to Israel and be Bibi’s cuck,Humor,X
"Nobody hated Mbappe before he joined Madri really? Lmao 🤣 

When he renewed with Psg in 2022, the backlash from Madrid fans was massive. It got even worse after that interview where he was perceived to have disrespected the club many fans openly said Madrid should never sign him again.

Then there was the constant back-and-forth with Florentino Pérez, which made things even more frustrating. It felt like he was playing with the club for years using their interest as leverage while never making a clear decision.

The repeated transfer saga didn’t help either. Every summer it was the same story, and by 2023, with the contract clause drama at PSG, many fans were already tired of it.

On top of that, the reports about his influence at PSG and the massive contract he signed made some Madrid fans feel like he prioritized money and control over legacy
something that doesn’t align with the club’s values.

It wasn’t just Madrid fans either. A lot of Messi and Neymar Jr. fans grew frustrated with his authoritative attitude at PSG. The constant tension, selfishness, ego and lack of chemistry between them created division within the fanbase, with many feeling he was trying to position himself above player like MESSI and Ney.

Even during the 2022 Champions League run, when Vinícius Júnior scored that iconic goal against Manchester City, commentators were already saying: “Who needs Mbappé? They’ve got Vinicius Jr.”

So no, he was massively hated before he joined us.",Humor,X
@DeathBlazer96 @aswangfan nobody makes you commit suicide you fucking sped lmao,Humor,X
"@jebeweon @topstarzh who even is talking about hate lmao….i just think that the fandom account for and2ble should be run for people that bias them to avoid problems in the future

nobody know if she even is going to care about them at the end of the year",Humor,X
"@TheFaithSheriff @imPheetus @playrust @TheDarkBiden @LUCKYLLAMA20 nobody wants a content thief pedo in the server, foh. your copycat server got trolled to death lmao and now he wants to try the server he copied from. pathetic",Humor,X
@MasterNumber @maximumpain333 Egyptian Pharaoh Ramesses was a ginger lmao even ancient Turks had Red hair so Idk lots of lies in the history books nobody really knows. https://t.co/b9QoU5CNwu,Humor,X
"@theblessedsalt @DofuTheWhite @Abudantia4 @TwoRulesOfWar lmao okay, you should leave your door unlocked tonight so nobody hurts themselves trying to kick it in (:",Humor,X
"@YourMMAFool Ilia might actually put him in a coma man I’m scared for dudes health

Nobody touching ilia at LW lmao",Humor,X
"I don’t speak to nobody at my job unless it is work related, lmao leave me tf alone.",Humor,X
This victim mentality gotta stop nobody even sayin my Suns losing because of the refs lmao,Humor,X
"Thragg was getting his shit off, but nobody comes close to Thanos lmao",Humor,X
@reecetalking @angloid0 you took the effort to make a video to make your point when literally nobody cares lmao,Humor,X
"@dbkwakyeMD Investigator was prolly watching the scandal from those initial pics with a smirk on his face because he had a big joker in his pocket  and nobody knew about it yet lmao 

Def a hall of fame worthy PI",Humor,X
"@W33dcatfrompkmn @JoyBoy_Phil @hlovo_ that’s your relationship lmao sounds shitty asf, it’s supposed to be reciprocated and nobody is asking y’all to be maids just for cooking a meal you can literally cook together, but yall don’t mind popping that pussy and just giving it up like that’s a better alternative 😂😂😂",Humor,X
@takumifubar just bs ceos spew bc nobody wants to work for pennies and constantly get abused about it ngl lmao people are getting smarter and they HATE it,Humor,X
"@B1TuckerCarlson @iAnonPatriot Lmao 😂 coming from the monkey that's hilarious 😂 your entire race is a joke and trust me, nobody wants you ""people"" around",Humor,X
@Sunnysuljic_ Absolutely cringe nobody wants to look like a dysgenic ogre freak lmao,Humor,X
@fifa_romania No they absolutely are not. lmao its going to be a 30 sqaud sbc and nobody has that fodder. WHAT ARE YOU SMOKING ?,Humor,X
"To feed their children lmao

I'm a Detroit veteran.  Nobody pays for water. Nobody pays for car insurance. Nobody pays any of their bills except when they're so far behind they get shut-off notices. Then they take it to the news or the city corruption officials and pay 10% of it.  Get called a hero.

Then they shoot at each other for $20 outside a gas station, hit their own 4 year old's skull by mistake, and say white people made them do it.",Humor,X
@Th0mathy @CarlMcJenkins Nobody that actually lives in Detroit cares about hockey tho. That’s for you Ann Arbor niggas lmao,Humor,X
@jshoreboston @RNCResearch @katieporterca Nobody likes this bitch . She has no reputation at all aside of being a total weirdo you lying shill . Lmao . She has a reputation of being a total nut case and nothing you said is true . haha,Humor,X
"why yall post when someone blocks you 💀 nobody cares lmao this is twitter, people can block over anything they want to",Humor,X
That was a horrible night nobody touch me lmao I am heartbroken and never want to leave my house again :(,Humor,X
"@DreadBoyRoy 3 chapters of Yuno vs. Asta were just announced and lmao nobody cares

I can understand your pain",Humor,X
In my nearly 3 years of competitive smash experience nobody has even come even remotely close to absolutely demolishing the fuck out of me like Ev did last night LMAO and idk if I’ll ever get my ass handed to me that hard again it was an honor rivals players are different fr🫡,Humor,X
"@__philmatic @Banksbuildi @TonyDaDome @Antonio388943 🆒
A hater on Twitter ain’t gonna change nobody mind bro
Ur wasting ur characters, I’m not reading ur bullshit lmao",Humor,X
"@femalerapgame Nobody said they aren’t credible lmao, we said they clearly are being paid.

You seen the same tweets we did 😂nobody cares about anything that’s not 108M or more https://t.co/LU7OnXlqq0",Humor,X
"lmao ""people"" and it's sperm fans after lee sooman promoted his faves in the u.s. so that they would ""outshine"" others 🤣 gist is NOBODY can sing exo songs alone other than chanyeol. nobody can slay his parts like he did and well.. he wrote a lot of them so 🤭",Humor,X
Alhaitham shows up when he feels like and leaves when he feels like but he does everything required of him so nobody can fault him lmao,Humor,X
"Funny, clever meme I spent 20 minutes making : 30 likes

A banal observation about Chinese autism: 100k likes

Seriously why is this place like this 😭",Humor,X
@coloredseung Twitter is so funny why is a simple observation being referred to as “discourse” and “anger” 😭😭😭😭,Humor,X
"@joelw_762 @nykyt0sha What's especially funny is that it was this exact observation among Ukrainians that led to Euromaidan in 2013. Why is Poland so great — when the USSR fell, it was *behind* Ukraine in so many respects",Humor,X
@AceOnFire77 So you must really have a nice voice! Aww :) Why is it so extra funny when they say lady?? I was doing a remote observation of a 3 year old. Kid was introduced to me but then forgot. Half hour later he says “Mommy why is that lady in your phone?” I almost died laughing.,Humor,X
Wow and wow who wants this what 4 th36 u can $o what my think is no organised yeah observation city ok I’m …….. then checkmate go on u do it why is I’ll patchy u through funny from reception,Humor,X
Funny observation: Why is it easier to start a diet on a Monday than to resist dessert on a Friday? 🍰😂 #Relatable #LifeTruths #Balance,Humor,X
@mkhammer Can I just make a funny observation.... You can't be older than 40 why is the photo in black and white? Just asking.... It looks like a photo my mom would have showed me when she was 6 😂,Humor,X
"@2sinkz @4ltismael His non Anglo accent comes out when he pronounces non Anglo words?

Why is this a funny observation lol",Humor,X
It’s really funny he brought this up because I was in the city a few weeks ago and I literally said to my friend “why is every other building here perpetually under construction?” Which was really my only complaint (more of an observation though) the whole time I was there lol,Humor,X
"@historyinmemes Why is it only one side of the spectrum that does things like stealing peoples lawn signs? Still funny, but damn.. just an observation. I only ever see this type of stuff going one way. 😂😂",Humor,X
"@danrsvilla @afcCoop @bentekeSZN1 Mate I'm not being funny but why are you trying so hard to disprove my opinion 
And I'm just trying to explain and everyone is pissing my off and now your just pushing it for no reason 
It was just an observation and opinion 
Why is everyone so condescending about it",Humor,X
Funny observation: the 5k+ follower guy replies to me more than the 200-follower guy. Why is that?,Humor,X
"(  he allowed her to stare at them.  was their makeup smeared?  did he forget to fix it up?  . . .why is the entity looking at them funny?

even whilst overreacting internally, he continued to smile lightly.  albeit a bit concerned of her observation.  )",Humor,X
what’s going on in the quotes of this tweet why is this website so fucking annoying at a funny observation in a movie trailer 😭😭,Humor,X
"This is just a funny observation but I think it’s funny that a lot of times in fanon, Shioko doing student council work is depicted with her doing paperwork when in canon she’s almost always typing on a laptop HDHD However, if all the work is digitized, why is it necessary to",Humor,X
"@sachi_santana @slangahh @bigGeechiMbb @Iam_AWard Aw thanks! Hoping you can help some more: Why is it a “funny lil observation?” Not sure I understand, according to rabid fans, why a major artist who is sooo popular being played is so funny?",Humor,X
@lexofmyheart Why is it funny ? Like I don't understand why they mean,Humor,X
"@AltKyssito @FraskedOop @Lily65282855 @ama_a93 ....why is all these Lifestealers too

They were too overpowered. Tho Clown is there so I unno but this is a funny observation",Humor,X
Just saw a tweet which wasn’t funny. Just a mundane observation. It had 10k likes. Why is that?,Humor,X
"Taking a look into the fridge, an eyebrow raised.

Why did this assassin carry around bargaining tools in a fridge? Why is there pot?

Her observation is halted by the sound of a familiar voice, brown eyes shifting over to Bi-Han.

“ You’ve a funny way of asking for it. “
+++ https://t.co/xs40WwaS3S",Humor,X
"I hope this not offensive, it’s just an observation I have..

Why is there always a moment when ppl who used to be funny and heavyset… lose weight and become extremely serious and unfunny",Humor,X
@bribriwheezy 😭😭😭😭😭why is this funny,Humor,X
"@Heru_Kaiza @eidxof Funny how he only made that ""observation"" at Keem and not anybody else. Why is he targeted Keem. He didnt care about Keem before the beef so why you care. Maybe cuz he Dot cousin and Dot is on the album. Same way he cared about GNX https://t.co/LYLRBPdLXU",Humor,X
@DaveDunkin1 @JasmineWlknsn78 Why is it funny that not being born into serfdom that I can make an observation and form an opinion regarding privilege and subordination?,Humor,X
@BrummieTricky Why is the blatant observation of needing more than one striker so funny?,Humor,X
"@AWY32jr @ImWickedJess It’s sad. The corruption is crazy. Funny observation — Political “leaders” never acted this stupid when the mafia was still a thing. 🤔 Why is that??? True, there were a few bad seeds, but not entire cities.🤔",Humor,X
"@KatarinaHill2 @rtenews Because it's funny. It's huge and an observation

What is also funny is you running to his defence on something I never even mentioned. Why is that? Is it because he is not sweet, funny, or humble but is quite full of hate?",Humor,X
@QueenAnticommie Why is that? I literally just had steak fajitas That I made yesterday and opened the guacamole today And it was brown. And truly a funny observation Queen 🤣,Humor,X
@raychelltwt I can alr tell these types of kids are really prone to these things. Idk but my observation tells me if the person is this white with not so normal eye color easily gets sick. Funny it may sound and apparently no study has been conducted but idk why is it always them 😭,Humor,X
@MayaWalkWithMe @slommyommy @KrystalWolfyAlt ITS NOT EVEN A FUNNY RESPONSE. I JUST STATED A PERSONAL OBSERVATION WHY IS THIS CONTENT WORHT REHASHING,Humor,X
@DaveSmi93200312 @DrAseemMalhotra Why is this funny? I'm making an observation?,Humor,X
"@DonWalker81 @mtntallpaul @LisaLisagatt Funny, but that was through research, wasn’t it?

Now, people, myself included, are asking the questions about evidence and all these chemtrail nuts are avoiding it? Covering up?

Observation isn’t evidence.  It’s a trigger for research. Why is simple research being avoided?",Humor,X
"@Jkylebass @BoeingAirplanes @GlobeEyeNews Why is that funny? That plane was specificially designed for this decades ago. Perhaps a better observation: his ego is not so big as to force him to build something just to avoid using an ""American"" product. It seems to me, that sort of ego is uniquely American.",Humor,X
@LacosteTajhai @Travis_TBC @qpe @DJUiagalelei It doesn’t have to be compared to anything lmfao where do you see that? I said it was funny but hey CDL drivers do make good money. It’s an observation not a comparison why is that hard to comprehend?,Humor,X
"@ousmannoor @jeremycorbyn @GaryLineker Isn’t it funny how the nice comments in this thread are from decent humans &amp; then like a lot of other threads, the horrible nasty ones are from those who support Israel in murdering and starving innocent babies, children, men and women. Just an observation. Why is that? 🇵🇸",Humor,X
"@RealJamesWoods Just an observation, but why is it every video I see on X lately involves black women in massive brawls?   Outside of our commentator/videographer who is pretty funny, I didn't see a single guy .   

Restaurants, department stores, and now carnival ships    Somethings wrong.",Humor,X
"It’s funny how people who have never embarked on a journey to scientific discovery are suddenly piling on this gentleman who is simply making an observation based off his understanding. 

Why is it so hard to engage on here without being condescending or dismissive?",Humor,X
@GRRLmusic Why is this observation so funny lmaooo,Humor,X
@mezaway @Wokeupjacked @BrilynHollyhand Why is that a funny story. It’s not even a story. It’s an observation but I have no interest in taxes going to trades or any college. Get a job at a trade &amp; learn while you earn,Humor,X
"@The_LadyLury @Shadaya_Knight Whats funny about a country

Are you stupid or what

Who cares where anybody lives

Just show how dumb you are

Why is making a reference to a country even a worthwhile observation

Mnnnnxxxxxxmmmmmm msunu wakho",Humor,X
Why is the qrts is taking it as a drag??? Not having fun is not a drag??? Its just a funny observation on how quirky yuna is,Humor,X
"why is everyone so mad at this tweet, no one is humiliating the guy it's just a funny observation.

is everyone just collectively projecting like what's wrong with an old guy reading a menu",Humor,X
"#KaguraGoblin Why is it funny to see Chihiro in a car?!😭😂

I would have imagine him jumping from building to building or walking idk

It just a dumb observation of mine. 

But I love this panel a lot. https://t.co/zJKswyXhcV",Humor,X
"@MERCILESSLIGHT Why is it insensitive to flaunt it? The point of merch is to communicate your interests to the people among you, keeping merch locked in a closet kinda defeats the whole purpose, it's funny how you think you speak for the people because you made such a basic observation",Humor,X
"🤯 Funny Observation
6. Why do phones fall face-down 99% of the time?
7. People who reply “Ok” — what trauma caused this?
8. Why does food taste better when it’s not yours?
9. Why do alarms sound angrier in the morning?
10. Why is silence louder when you’re in trouble?",Humor,X
"@DavonMarlin We literally don’t be asking each other 😭😭 why is that, we’ll get each other together 😂😂 That’s such a funny ass observation",Humor,X
"@kratos122221 @VeryBrexitProbs Hello Irish person. I like Ireland, I've been there, and a significant portion of my own history comes from Ireland. Why is my observation funny to you? I want Ireland to be strong, resilient, and capable. I'm rooting for you, and I think this guys attitude is unfortunate.",Humor,X
"@KimDotcom Why is this even a question?

I'm just frolicking around here on X to share my observation that Trump's 'Bud Light Moment' is literally done with Bud Light! By himself. 

In the hope to get some shekels on his $5mm portfolio.

MAGA: the Bud Light of Politics

Amazingly funny!",Humor,X
Why is this observation funny??,Humor,X
"@Breakingfreetwo Someone said to me ""Your sister moved out of state and you didn't say goodbye to her??"" Uhm, she didn't reach out to me either, so why is that just on me? (I'm NC anyway, it was just a funny observation about the one-way'ish approach people can take with narcissists.)",Humor,X
@GLURAK20XX @PaulTassi Why is this seen as a complaint and not a funny observation?,Humor,X
"Observation:

Why is it that every time a man brings up the subject of an older man &amp; a much younger (legal-age) woman, feminists make it about underage girls? 

Funny how your own sense of ""outrage"" was absent when YOU were a younger woman interested in an older man.",Humor,X
@HeidiBriones That is a funny observation but I have all that turned off when I use venmo. Why is it anyone's business to to see who is sending money to other people and what it's for? That's so fucking intrusive. I don't want to know what other regular people are doing with their money.,Humor,X
"@thevivafrei @JasmineForUS @mtgreenee Why is calling Trump orange considered “making fun” of his appearance?. He is orange. It’s simply an observation. It’s not funny. 

If anything it’s sad.",Humor,X
"Funny observation but why is it that if you ask a guy 3 questions at once , he mostly likely just answers one of them. 

Either the first or the last. 

And no, not just partners/spouses. 

I’ve noticed it with male friends ,coworkers, classmates, service people, neighbors etc",Humor,X
"@elonmusk it's funny how there are so many profiles on here being basically a quiz spam timeline 

Why is this do you think? 

Is it just engagement farming at this stage.

Legitimately curious,  just an observation.",Humor,X
"@OneBadDude_ So why is this acceptable or supported? This is peaceful observation? Also, this one is just funny.. haha. They got what they asked for",Humor,X
@imaslimeyou Why is everyone hating on u it's just a funny observation,Humor,X
"@RGIII @NFLonCBS Bro why is the world so soft these days. It’s a factual observation and its funny, quit crying racism when its not there",Humor,X
@sbell021 Funny how much better this team played without Jett! Just an observation. Why is Terrance Williams even on the court?,Humor,X
POV: When you realize you overshared with a gossipy person. https://t.co/KPz7U26FRK,Humor,X
POV: When you're out socializing but remember your trade is in drawdown https://t.co/dqzDRjAbYw,Humor,X
